Type,FID,beta.sor,beta.sim,beta.sne,LSP,MAT,MAP,TA,PA,TSN,PSN,PCP,CWE,LSD,GMD,NVT,PDC,PSA
Tropical rain forest,143,0.171636846,0.08625731,0.085379536,146,19.12258328,1354.666667,3.62258327,302,373.6063626,82.76989434,0.275199591,0.007890418,0.868327337,0,10,0.065983333,0.749267742
Tropical rain forest,144,0.138601036,0.063380282,0.075220755,147,18.2345868,1325.833333,3.401253462,118,391.5302891,86.66463608,0.291127855,0.008321063,0.869737712,0,10,0.071,0.745463079
Tropical rain forest,145,0.111831442,0.060034305,0.051797137,153,18.66250149,1367.571429,2.948215757,93.71428571,398.6940273,90.5559982,0.295081407,0.00877697,0.867549695,0,9,0.06748,0.711744327
Tropical rain forest,152,0.211578222,0.103448276,0.108129946,141,21.66783723,1468.625,3.167837232,174.25,542.095873,79.43586534,0.248985325,0.005864874,0.859254014,0,10,0.036,0.690365503
subtropical evergreen broad-leaved forest,153,0.29910045,0.184829991,0.114270458,153,21.87381361,1527.888889,3.096035878,165.8888889,566.6751446,76.34229205,0.233856266,0.006136623,0.853646464,0,11,0.036377778,0.639606121
subtropical evergreen broad-leaved forest,154,0.304059041,0.192636986,0.111422054,148,22.10134251,1550.222222,2.768009159,177.3333333,596.3431953,73.02794884,0.222902021,0.006434408,0.856890553,0,11,0.0374,0.574827111
subtropical evergreen broad-leaved forest,155,0.313868613,0.186851211,0.127017402,147,21.83385074,1473,2.833850741,164.1666667,610.7327984,69.27293311,0.214330242,0.006405244,0.856824924,0,10,0.0384,0.54921816
subtropical evergreen broad-leaved forest,156,0.314220183,0.17630854,0.137911644,145,21.75900008,1517.222222,2.759000116,115,617.8057193,68.70226346,0.207330847,0.006342336,0.85237283,0,8,0.039111111,0.545900042
subtropical evergreen broad-leaved forest,157,0.285714286,0.185714286,0.1,140,21.85342128,1536.444444,2.853421291,106.3333333,614.9823506,69.71432244,0.208747043,0.006045108,0.852938522,0,8,0.040022222,0.566815244
subtropical evergreen broad-leaved forest,158,0.261633011,0.187439614,0.074193398,132,21.74816153,1530.666667,3.081494888,144,604.0173633,68.74361312,0.210418264,0.00564903,0.855377014,0,8,0.04,0.531385868
