"variable_combination","adjR2","AIC"
"PA_sd+PCV_sd+MAT_sd+NA+NA+NA+NA+NA+NA","0.721","265.775"
"PA_sd+PCV_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.733","258.081"
"PA_sd+PCV_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.731","259.53"
"PA_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA+NA","0.766","236.687"
"PA_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA+NA","0.771","232.99"
"PA_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.774","231.211"
"PA_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.711","270.987"
"PA_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.709","272.603"
"PA_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.72","266.3"
"TCV_mean+PCV_sd+MAT_mean+NA+NA+NA+NA+NA+NA","0.783","224.64"
"TCV_mean+PCV_sd+MAT_sd+NA+NA+NA+NA+NA+NA","0.721","265.743"
"TCV_mean+PCV_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.733","258.079"
"TCV_mean+PCV_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.731","259.249"
"TCV_mean+MAT_mean+MAT_sd+NA+NA+NA+NA+NA+NA","0.763","238.879"
"TCV_mean+MAT_mean+TSN_mean+NA+NA+NA+NA+NA+NA","0.768","235.668"
"TCV_mean+MAT_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.771","233.595"
"TCV_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.711","271.091"
"TCV_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.71","272.036"
"TCV_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.72","266.307"
"PCV_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA+NA","0.784","223.658"
"PCV_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA+NA","0.787","221.261"
"PCV_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.792","217.689"
"PCV_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.734","257.633"
"PCV_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.731","259.28"
"PCV_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.742","252.687"
"MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.767","235.805"
"MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.771","233.653"
"MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.774","231.108"
"MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.719","266.393"
"TA_mean+TA_sd+PA_sd+TCV_mean+NA+NA+NA+NA+NA","0.717","269.815"
"TA_mean+TA_sd+PA_sd+PCV_sd+NA+NA+NA+NA+NA","0.736","258.343"
"TA_mean+TA_sd+PA_sd+MAT_mean+NA+NA+NA+NA+NA","0.77","235.701"
"TA_mean+TA_sd+PA_sd+MAT_sd+NA+NA+NA+NA+NA","0.717","269.724"
"TA_mean+TA_sd+PA_sd+TSN_mean+NA+NA+NA+NA+NA","0.729","262.704"
"TA_mean+TA_sd+PA_sd+PSN_mean+NA+NA+NA+NA+NA","0.73","262.316"
"TA_mean+TA_sd+TCV_mean+PCV_sd+NA+NA+NA+NA+NA","0.736","258.299"
"TA_mean+TA_sd+TCV_mean+MAT_mean+NA+NA+NA+NA+NA","0.767","237.799"
"TA_mean+TA_sd+TCV_mean+MAT_sd+NA+NA+NA+NA+NA","0.717","269.568"
"TA_mean+TA_sd+TCV_mean+TSN_mean+NA+NA+NA+NA+NA","0.729","262.976"
"TA_mean+TA_sd+TCV_mean+PSN_mean+NA+NA+NA+NA+NA","0.73","262.076"
"TA_mean+TA_sd+PCV_sd+MAT_mean+NA+NA+NA+NA+NA","0.787","223.872"
"TA_mean+TA_sd+PCV_sd+MAT_sd+NA+NA+NA+NA+NA","0.738","257.265"
"TA_mean+TA_sd+PCV_sd+TSN_mean+NA+NA+NA+NA+NA","0.749","250.334"
"TA_mean+TA_sd+PCV_sd+PSN_mean+NA+NA+NA+NA+NA","0.75","249.506"
"TA_mean+TA_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.768","237.673"
"TA_mean+TA_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.772","234.548"
"TA_mean+TA_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.776","231.709"
"TA_mean+TA_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.729","262.963"
"TA_mean+TA_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.73","262.325"
"TA_mean+TA_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.739","256.845"
"TA_mean+PA_sd+TCV_mean+PCV_sd+NA+NA+NA+NA+NA","0.726","264.572"
"TA_mean+PA_sd+TCV_mean+MAT_mean+NA+NA+NA+NA+NA","0.769","236.992"
"TA_mean+PA_sd+TCV_mean+MAT_sd+NA+NA+NA+NA+NA","0.706","275.928"
"TA_mean+PA_sd+TCV_mean+TSN_mean+NA+NA+NA+NA+NA","0.719","268.845"
"TA_mean+PA_sd+TCV_mean+PSN_mean+NA+NA+NA+NA+NA","0.718","269.139"
"TA_mean+PA_sd+PCV_sd+MAT_mean+NA+NA+NA+NA+NA","0.786","224.327"
"TA_mean+PA_sd+PCV_sd+MAT_sd+NA+NA+NA+NA+NA","0.726","264.373"
"TA_mean+PA_sd+PCV_sd+TSN_mean+NA+NA+NA+NA+NA","0.739","256.66"
"TA_mean+PA_sd+PCV_sd+PSN_mean+NA+NA+NA+NA+NA","0.738","257.059"
"TA_mean+PA_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.768","237.257"
"TA_mean+PA_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.774","233.484"
"TA_mean+PA_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.776","231.492"
"TA_mean+PA_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.719","268.763"
"TA_mean+PA_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.718","269.355"
"TA_mean+PA_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.728","263.571"
"TA_mean+TCV_mean+PCV_sd+MAT_mean+NA+NA+NA+NA+NA","0.785","225.235"
"TA_mean+TCV_mean+PCV_sd+MAT_sd+NA+NA+NA+NA+NA","0.726","264.509"
"TA_mean+TCV_mean+PCV_sd+TSN_mean+NA+NA+NA+NA+NA","0.739","256.639"
"TA_mean+TCV_mean+PCV_sd+PSN_mean+NA+NA+NA+NA+NA","0.738","257.04"
"TA_mean+TCV_mean+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.765","239.203"
"TA_mean+TCV_mean+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.77","235.845"
"TA_mean+TCV_mean+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.773","233.589"
"TA_mean+TCV_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.719","268.859"
"TA_mean+TCV_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.718","269.052"
"TA_mean+TCV_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.728","263.64"
"TA_mean+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.785","224.82"
"TA_mean+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.789","222.151"
"TA_mean+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.794","218.324"
"TA_mean+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.739","256.599"
"TA_mean+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.738","257.243"
"TA_mean+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.748","250.791"
"TA_mean+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.77","236.175"
"TA_mean+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.773","233.827"
"TA_mean+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.777","231.233"
"TA_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.728","263.248"
"TA_sd+PA_sd+TCV_mean+PCV_sd+NA+NA+NA+NA+NA","0.729","262.995"
"TA_sd+PA_sd+TCV_mean+MAT_mean+NA+NA+NA+NA+NA","0.768","237.396"
"TA_sd+PA_sd+TCV_mean+MAT_sd+NA+NA+NA+NA+NA","0.709","274.327"
"TA_sd+PA_sd+TCV_mean+TSN_mean+NA+NA+NA+NA+NA","0.721","267.682"
"TA_sd+PA_sd+TCV_mean+PSN_mean+NA+NA+NA+NA+NA","0.72","267.836"
"TA_sd+PA_sd+PCV_sd+MAT_mean+NA+NA+NA+NA+NA","0.786","223.951"
"TA_sd+PA_sd+PCV_sd+MAT_sd+NA+NA+NA+NA+NA","0.732","260.996"
"TA_sd+PA_sd+PCV_sd+TSN_mean+NA+NA+NA+NA+NA","0.742","254.519"
"TA_sd+PA_sd+PCV_sd+PSN_mean+NA+NA+NA+NA+NA","0.742","254.86"
"TA_sd+PA_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.769","236.965"
"TA_sd+PA_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.774","233.433"
"TA_sd+PA_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.777","231.212"
"TA_sd+PA_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.721","267.344"
"TA_sd+PA_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.72","267.984"
"TA_sd+PA_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.73","262.159"
"TA_sd+TCV_mean+PCV_sd+MAT_mean+NA+NA+NA+NA+NA","0.785","225.224"
"TA_sd+TCV_mean+PCV_sd+MAT_sd+NA+NA+NA+NA+NA","0.732","260.802"
"TA_sd+TCV_mean+PCV_sd+TSN_mean+NA+NA+NA+NA+NA","0.742","254.555"
"TA_sd+TCV_mean+PCV_sd+PSN_mean+NA+NA+NA+NA+NA","0.743","254.416"
"TA_sd+TCV_mean+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.765","239.364"
"TA_sd+TCV_mean+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.77","236.346"
"TA_sd+TCV_mean+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.773","233.864"
"TA_sd+TCV_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.721","267.625"
"TA_sd+TCV_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.721","267.471"
"TA_sd+TCV_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA","0.73","262.328"
"TA_sd+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA","0.787","223.602"
"TA_sd+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA","0.789","221.666"
"TA_sd+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA","0.795","217.591"
"TA_sd+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA","0.744","253.281"
"TA_sd+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA","0.744","253.545"
